ZIP Code,Week Number,Week Start,Week End,Cases - Weekly,Cases - Cumulative,Case Rate - Weekly,Case Rate - Cumulative,Tests - Weekly,Tests - Cumulative,Test Rate - Weekly,Test Rate - Cumulative,Percent Tested Positive - Weekly,Percent Tested Positive - Cumulative,Deaths - Weekly,Deaths - Cumulative,Death Rate - Weekly,Death Rate - Cumulative,Population,Row ID,ZIP Code Location
60611,17,04/19/2020,04/25/2020,8,81,25,249.8,152,666,469,2053.9,0.1,0.1,1,1,3.1,3.1,32426,60611-2020-17,POINT (-87.620291 41.894734)
60666,32,08/02/2020,08/08/2020,,,,,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,60666-2020-32,POINT (-87.896371 41.979511)
60656,17,04/19/2020,04/25/2020,28,126,102,456.9,195,872,707,3161.8,0.2,0.2,0,4,0.0,14.5,27579,60656-2020-17,POINT (-87.817934 41.974566)
60827,22,05/30/2021,06/05/2021,3,379,10,1326.2,,807,0,2823.9,0.0,0.1,1,16,3.5,56.0,28577,60827-2021-22,POINT (-87.633087 41.650765)
60632,11,03/08/2020,03/14/2020,,,,,4,4,4,4.4,0.0,0.0,0,0,0.0,0.0,91039,60632-2020-11,POINT (-87.711251 41.810038)
60611,22,05/24/2020,05/30/2020,15,140,46,431.8,400,2476,1234,7635.8,0.1,0.1,0,2,0.0,6.2,32426,60611-2020-22,POINT (-87.620291 41.894734)
60652,10,03/01/2020,03/07/2020,,,,,0,0,0,0,0.0,0.0,0,0,0.0,0.0,43907,60652-2020-10,POINT (-87.714238 41.745398)
60601,12,03/15/2020,03/21/2020,10,14,68,95.4,31,37,211,252.1,0.2,0.2,0,0,0.0,0.0,14675,60601-2020-12,POINT (-87.622844 41.886262)
60626,16,04/12/2020,04/18/2020,136,302,274,607.3,343,909,690,1827.9,0.3,0.3,10,17,20.1,34.2,49730,60626-2020-16,POINT (-87.669834 42.009469)
60631,16,04/12/2020,04/18/2020,18,98,61,331.9,233,821,789,2780.3,0.1,0.1,1,2,3.4,6.8,29529,60631-2020-16,POINT (-87.813371 41.995019)
60827,23,05/31/2020,06/06/2020,3,81,10,283.4,28,369,98,1291.2,0.1,0.2,0,7,0.0,24.5,28577,60827-2020-23,POINT (-87.633087 41.650765)
60637,10,03/01/2020,03/07/2020,,,,,0,0,0,0,0.0,0.0,0,0,0.0,0.0,47454,60637-2020-10,POINT (-87.604053 41.780991)
60614,11,03/08/2020,03/14/2020,13,13,18,18.2,25,27,35,37.9,0.2,0.2,0,0,0.0,0.0,71308,60614-2020-11,POINT (-87.652064 41.922605)
60647,10,03/01/2020,03/07/2020,,,,,0,0,0,0,0.0,0.0,0,0,0.0,0.0,87509,60647-2020-10,POINT (-87.701101 41.921058)
60602,11,03/08/2020,03/14/2020,,,,,0,0,0,0,0.0,0.0,0,0,0.0,0.0,1244,60602-2020-11,POINT (-87.628309 41.883136)
60633,14,03/29/2020,04/04/2020,7,11,54,85.5,27,56,210,435.1,0.2,0.1,0,0,0.0,0.0,12871,60633-2020-14,POINT (-87.556037 41.653147)
60633,27,06/28/2020,07/04/2020,10,153,78,1188.7,199,1258,1546,9773.9,0.1,0.1,0,4,0.0,31.1,12871,60633-2020-27,POINT (-87.556037 41.653147)
60827,38,09/13/2020,09/19/2020,1,108,4,377.9,,807,0,2823.9,0.0,0.1,0,8,0.0,28.0,28577,60827-2020-38,POINT (-87.633087 41.650765)
60628,18,04/26/2020,05/02/2020,110,754,165,1130,545,2405,817,3604.4,0.2,0.3,13,53,19.5,79.4,66724,60628-2020-18,POINT (-87.621537 41.694192)
60630,12,03/15/2020,03/21/2020,13,13,23,22.7,40,46,70,80.2,0.2,0.2,1,1,1.7,1.7,57344,60630-2020-12,POINT (-87.759611 41.971261)
60827,28,07/05/2020,07/11/2020,3,89,10,311.4,65,597,228,2089.1,0.0,0.1,0,7,0.0,24.5,28577,60827-2020-28,POINT (-87.633087 41.650765)
60605,19,05/03/2020,05/09/2020,13,148,47,537.8,147,870,534,3161.5,0.1,0.1,0,1,0.0,3.6,27519,60605-2020-19,POINT (-87.623449 41.867824)
60607,27,06/28/2020,07/04/2020,10,487,34,1645.8,421,3445,1423,11642.1,0.0,0.1,0,4,0.0,13.5,29591,60607-2020-27,POINT (-87.652727 41.876104)
60619,13,03/22/2020,03/28/2020,100,131,163,213.8,222,347,362,566.5,0.4,0.3,0,0,0.0,0.0,61258,60619-2020-13,POINT (-87.60569 41.744737)
60614,22,05/24/2020,05/30/2020,17,498,24,698.4,455,3897,638,5465,0.0,0.1,4,62,5.6,86.9,71308,60614-2020-22,POINT (-87.652064 41.922605)
60618,18,04/26/2020,05/02/2020,135,647,143,685.4,627,2469,664,2615.6,0.2,0.2,6,18,6.4,19.1,94395,60618-2020-18,POINT (-87.703343 41.946699)
60655,29,07/12/2020,07/18/2020,26,348,90,1208.2,407,5203,1413,18063.5,0.1,0.1,0,9,0.0,31.2,28804,60655-2020-29,POINT (-87.701434 41.696456)
60827,33,08/09/2020,08/15/2020,1,102,4,356.9,,807,0,2823.9,0.0,0.1,0,7,0.0,24.5,28577,60827-2020-33,POINT (-87.633087 41.650765)
60641,12,03/15/2020,03/21/2020,10,11,14,15.5,60,65,84,91.5,0.1,0.1,0,0,0.0,0.0,71023,60641-2020-12,POINT (-87.746791 41.946682)
60605,24,06/07/2020,06/13/2020,3,196,11,712.2,312,2132,1134,7747.4,0.0,0.1,0,1,0.0,3.6,27519,60605-2020-24,POINT (-87.623449 41.867824)
60666,11,03/14/2021,03/20/2021,,,,,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,60666-2021-11,POINT (-87.896371 41.979511)
60640,10,03/01/2020,03/07/2020,,,,,5,5,7,7.2,0.0,0.0,0,0,0.0,0.0,69715,60640-2020-10,POINT (-87.662232 41.971888)
60647,17,04/19/2020,04/25/2020,220,500,251,571.4,606,1758,692,2008.9,0.3,0.3,10,17,11.4,19.4,87509,60647-2020-17,POINT (-87.701101 41.921058)
60652,15,04/05/2020,04/11/2020,52,169,118,384.9,140,444,319,1011.2,0.3,0.3,3,6,6.8,13.7,43907,60652-2020-15,POINT (-87.714238 41.745398)
